,Datetime,Text,TweetID,username
30,2020-06-23 23:46:31+00:00,"Sushant Singh Rajput: Boycott Karan Johar, YRF films, Salman Khan - Sign the Petition! http://chng.it/mqt79rS7 via @ChangeOrg_India",1275575999040634880,mittalandco
31,2020-06-23 23:45:37+00:00,Almost all Bollywood actor combined together will never understand what he is talking about. He was a genius. I have a strong feeling after watching this video #sushantsinghrajput can never commit suicide. #CBIenquiryofsushantsinghrajput.,1275575771105562636,IitmGaurav
32,2020-06-23 23:45:33+00:00,- he was already an outsider due to not knowing anyone in the industry as Bollywood is very superficial and nepotism run; you can only get in if you’re connected. He was boycotted by the elite as he was rising up and getting more fans. So what did the elite do? -,1275575755171389440,leylaa_889
33,2020-06-23 23:45:26+00:00,"Sushant Singh Rajput: Boycott Karan Johar, YRF films, Salman Khan - Sign the Petition! http://chng.it/WrFyHmKS via @ChangeOrg_India",1275575722745053184,BashaMuheeb
34,2020-06-23 23:44:59+00:00,"Bevkoof jaisa sawal Kar Diya n tune.....aaj khesari bhaiya ke hi den hai ki... Manoj Tiwari,Pawan Singh,akshara Singh, Gunjan Singh or na Jane kitane log Gaye Sushant Singh Rajput ke Ghar sabase PAHALE Khesari bhaiya hi Gaye the..phir pichhe SE sab log gaye",1275575612502011904,BittuYaduveer
35,2020-06-23 23:44:29+00:00, ,1275575485485903872,artmakeres
36,2020-06-23 23:43:26+00:00,Mahesh Bhatt got badly trolled on Instagram AFTER HE KILLED #SushantSinghRajput! #PublicDemandCBIEnquiryForSSR,1275575222754783234,IshaKaur5
37,2020-06-23 23:43:04+00:00,"@MumbaiPolice Sir, being a fan of demise actor Sushant Singh Rajput, It has left me heartbroken,So wanted to ask u just 1 question, Rather than turning the focus to nepotism, Why is Mahesh bhatt &amp; Rhea Chakraborty not being interrogated properly?Mumbai police ka danda sabpe bhari",1275575128655458304,AnkitaDeyOffic1
38,2020-06-23 23:42:23+00:00,PM Narendra Modi: Was It Really Suicide? Justice for Sushant Singh Rajput - Sign the Petition! http://chng.it/26Wpxbw5 via @Change #CBIEnquiryForSushantSinghRajput #ArrestMurdererOfSushant #BeFairInSSRMurderCase #JusticeForSushantSinghRajput @narendramodi ,1275574958903619584,Tia93967142
39,2020-06-23 23:41:40+00:00,"#BollywoodMafia #ArrestMurdererOfSushant #boycottsalmankhan #BoycottNepotism #BoycottKaranJoharGang #Bollywood #CBIEnquiryForSushantSinghRajput Sushant Singh Rajput suicide case: Salman Khan, Alia Bhatt and Karan Johar films to be banned in Bihar? Find out ",1275574778493992961,Sartaz_Abd17
40,2020-06-23 23:41:26+00:00,"Sushant Singh Rajput - Kendall Jenner Foto untuk Majalah Vogue, Masih Tak Diakui? ",1275574719094370305,keponewsdotcom
41,2020-06-23 23:40:18+00:00,Yes exactly! She was implanted in #SushantSinghRajput's life to destroy his career and gain control over his life. They plotted the depression &amp; haunted house angle to make him look depressed and sick. The antidepressants must also be fake to disguise the murder as a suicide,1275574432933662721,angieksharma9
42,2020-06-23 23:40:09+00:00,#SushantSinghRajput ,1275574395810045954,sunrizetravel
43,2020-06-23 23:39:41+00:00,PM Narendra Modi: Was It Really Suicide? Justice for Sushant Singh Rajput - Sign the Petition! http://chng.it/26Wpxbw5 via @Change,1275574279212380160,Tia93967142
44,2020-06-23 23:39:32+00:00,"- @BeingSalmanKhan is the famous godfather in Bollywood and has strong Underworld connections to a man who runs Bollywood, Dawood Ibrahim, who’s the “number one person wanted in India”, even though he runs their entertainment and will never be caught (another rabbit hole) -",1275574239001788416,leylaa_889
45,2020-06-23 23:38:46+00:00,"Look at this tweet @sunandavashisht This is nepotism and insecurity They were insecure of him He was 1st choice for bajiro mariani, ramleela,half girlfriend and many more Karan bhutnike lulli khan only gives movies to them who shares bed with him #SushantSinghRajput ",1275574047200301061,Ninza38854958
46,2020-06-23 23:37:11+00:00,Amit Sadh says this is not the time for debate and dialogue but to remember Sushant Singh Rajput for his good https://ift.tt/3hUkKGu https://ift.tt/2XYZyWK New Punjabi Songs On,1275573650402533377,mrjattdjcom
47,2020-06-23 23:36:55+00:00,He was aieee air-7 A trained pilot A Stanford scholarship holder A national physics olympiad winner Extremely interested in science that even on sets used to take quantum physics books- manoj vajpayee They killed him He can't die just like that #SushantSinghRajput,1275573581796134913,Ninza38854958
48,2020-06-23 23:36:23+00:00,"Ye phel hamea honi chiye ki Jay Javan -Jay KISAN tabhi Vikas shambhav Hoga!! Ek Kam or kare ki Sushant Singh Rajput murder ki CBI investigation karvaye Youth ke samarthan Mai utaya gaya koi bold decision ,Pura HINDUSTAN mang Kar Raha Hai specialy -U .P, bhiar ke Youva ab sirf Kam",1275573447104450560,AMBRISH77096163
49,2020-06-23 23:35:56+00:00,I can't sleep ..from past week just of thought that what actually happened to him! How the hell people who called him insta post are sleeping ...Nobody wants investigation??? His family clearly wants investigation! #SushantSinghRajput #SushantSinghMurder #CBIinquiryforsushant,1275573334005202948,smrtnancy
50,2020-06-23 23:35:40+00:00,"Sushant Singh Rajput was murdered by mahesh batt also there is loads of clues his marks on neck arms forehead, mark on his neck is a rope mark and the green material hanging on ceiling doesn’t match?.How come the CCTV was off one day before?. Mukesh batt directing the full murder",1275573268167233537,shanjidali
51,2020-06-23 23:35:39+00:00,"- entered Bollywood not having any ‘support’ or privilege, his parents lived in a village etc. He was a gifted & clever man. He was rising up in Bollywood slowly and just like Hollywood, Bollywood is run by an elite group of people, including the ones I tagged above ^ -",1275573264673374209,leylaa_889
52,2020-06-23 23:35:31+00:00,"And no body really cares, but just for gaining sympathy and attention he revealed this about himself. @lostboy54 must know that ppl hates him bcoz of his manipulative personality which was clearly shown on BB13 and every where else. Not bcoz he is bisexual or whatever.",1275573227918626821,SP_SRkfan
53,2020-06-23 23:34:57+00:00,Aah Sushant.... Rest in Peace #justiceforSushanthSinghRajput #CBIInvestigationForSushant #CBIEnquiryForSushant #ArrestMurdererOfSushant #sushantsinghrajput ,1275573084976820227,Yasmeenshilpi
54,2020-06-23 23:34:17+00:00,"""Expected better from you"": Former Bigg Boss contestant Hina Khan's boyfriend Rocky Jaiswal lashes out at Sonam Kapoor for justifying nepotism after Sushant Singh Rajput's death - Janta Ka Reporter ",1275572918106324997,iBiggBossNews
55,2020-06-23 23:34:08+00:00,When Naveen Polishetty and #SushantSinghRajput added their twist to 'Koi Mil Gaya' song from Kuch Kuch Hota Hai! ,1275572879753531394,ChhattisgarhVa1
56,2020-06-23 23:33:44+00:00,"#SushantSinghRajput was ridiculed and tagged clinical depressed&amp;'mad' for being deep into his intelligence and intense passions for learning, travel, exploring and being HUMANE. Interview of nepo kid Vs.self-made. @dna talent.https://youtu.be/ieMziIFy2_I [#BoycottBollywoodNepotism]",1275572778872127488,Moralle_Moralle
57,2020-06-23 23:33:42+00:00,Please speak for him He needs justice Every1 is bought in that thukla system of @MumbaiPolice every body is corrupt and playing in the hands of mafia. They will never let truth come out #SushantSinghRajput,1275572772597403648,Ninza38854958
58,2020-06-23 23:33:29+00:00,https://twitter.com/mehak_doosaj/status/1275424273746681856?s=21,1275572718180593664,mehak_doosaj
59,2020-06-23 23:33:25+00:00,Honest Opinions: SUSHANT RAJPUT SINGH PT5 https://honestopinio.blogspot.com/2020/06/sushant-rajput-singh-pt5.html?spref=tw,1275572699452993537,SivUns
60,2020-06-23 23:33:21+00:00,@SsheraMoba @asimfan4ever @Saira__Asim @TinniDas2673444 @Mamun00906719 @heyitsmerashi @aki_goody Watch this video too.,1275572682994696194,SP_SRkfan
61,2020-06-23 23:33:18+00:00,"It’s another rabbit hole but needs to be addressed. Today in Bollywood, nepotism is the only thing which runs. You become famous if you’ve got someone who was in the industry. Bollywood doesn’t accept anyone else. Sushant Singh, who recently died of ‘suicide’ (murder) -",1275572673435906050,leylaa_889
62,2020-06-23 23:33:13+00:00,Hii,1275572650027315200,RajuCha35125615
63,2020-06-23 23:33:09+00:00,Elvish Yadav on Bollywood like karo bhai https://youtu.be/KGwOvSciC3c @itsSSR @AlvishY ...,1275572633665277952,Ankit47732311
64,2020-06-23 23:31:49+00:00,He was brilliant... #justiceforSushanthSinghRajput #CBIInvestigationForSushant #CBIEnquiryForSushant #ArrestMurdererOfSushant #SushantSinghRajput ,1275572298117009408,Yasmeenshilpi
65,2020-06-23 23:31:45+00:00,#SushantSinghRajput ,1275572282627444739,fzaklm
66,2020-06-23 23:30:53+00:00,#SushantSinghRajput ⁦@itsSSR⁩ #Beautiful ,1275572063932219393,AthisdaG
67,2020-06-23 23:30:51+00:00,Amit Sadh says this is not the time for debate and dialogue but to remember Sushant Singh Rajput for his good ,1275572053672951810,khiljeedotcom
68,2020-06-23 23:30:21+00:00,Him #SushantSinghRajput ,1275571928326123520,fzaklm
69,2020-06-23 23:30:03+00:00,Vaibhssss dil leja. ,1275571855101853696,MahaySurbhi
70,2020-06-23 23:29:54+00:00,"‘Sushant Singh Rajput had 3-4 projects in hand, wanted to do big scale films now,’ says Kamal Jain https://www.hindustantimes.com/bollywood/sushant-singh-rajput-had-3-4-projects-in-hand-wanted-to-do-big-scale-films-now-says-kamal-jain/story-pivI4DE1ERggQ8fbstt8WJ.html #publicdemandcbienquiryforssr",1275571814501146624,propercharlieuk
71,2020-06-23 23:29:17+00:00,"Manoj Bajpayee, furious at the film Critic, who ran such an episode about the death of Sushant Singh Rajput, said – When Janaja comes out, pray with folded hands… ",1275571658473050113,AmpinityNews
72,2020-06-23 23:29:16+00:00,"Please Have some Respect for @itsSSR and his Fans we are deeply hurt by his death Aag humare yaha lagi hai Tho halla bhi hum hi karenge agar aap begunaah ho tho darr kis baat ka agar trollers samjte ho tho ignore kar do,we just want #JusticeForSushant stop being""Inhuman"" #BeReal",1275571655226654722,chahat2212
73,2020-06-23 23:28:52+00:00,@iDivaOfficial if your claim on rhea is so true that why not share that shitty post on social media platforms as well? Scared enough to be called out again ? Hypocrisy at best. Earning by #SushantSinghRajput content and fake stories on #bollywoodnepotism . Boycott !!,1275571554735124480,nav_pretty
74,2020-06-23 23:28:02+00:00,We are making a group for our #SushantSinghRajput .. if anyone interested than DM me... This group is for only trend purpose... plz if anyone interested thn DM me. Mass trend banta he taki government tak humari baat pahunche #CBIEnquiryForSushant #justiceforSushanthSinghRajput,1275571347201064960,AadiSha2131
75,2020-06-23 23:27:10+00:00,"This bull$hit needs to stop. We, the audience, is triggered. #BoycottBollywoodNepotism #justiceforSushanthSinghRajput #SushantSinghRajput ",1275571127906009088,BringSSRJustice
76,2020-06-23 23:26:15+00:00,"Still it's difficult to process , you will always be in my heart.Lots of prayers for you Sushant. #SushantSinghRajput ",1275570896233734144,W_Akhan12
77,2020-06-23 23:26:13+00:00,"@itsSSR @Kangana_Ra @MumbaiPolice @shekharkapur @CMOMaharashtra @CMOBIHAR @AUThackeray police has all forensics evidence. Don't prv it suicide, this time no temperament with evidences, we also know DNA reports of scratches needed, please take care of evidences",1275570890361765894,SudakshinaBhat3
78,2020-06-23 23:25:52+00:00,https://youtu.be/jn2wH7vqPfU PLEASE SUBSCRIBE MY CHANNEL #Papahainna #SushantSinghRajput #ShehnaazGiII #Twitter,1275570801639665664,FBitsAlia
79,2020-06-23 23:25:44+00:00,"Lets believe in only and one Don, the supreme power 'Almighty The Lord' .. Rest all are born to die, be it any Bhai Pai Tai .. Anybody who commits a crime will pay for it .. Taking somebody's life is no fun .. @itsSSR #SushantSinghRajput #ArrestMurdererOfSushant",1275570767413927936,AlishaaaaN4
80,2020-06-23 23:25:38+00:00,#JusticeForShushantSinghRajput want a CBI enquiry behind the death of @itsSSR. If @ranbirrk or @aliaa08 had died in similar circumstances wouldn’t this demand had been met immediately. The mafia @BeingSalmanKhan has to be tried for the murder #JusticeForShushantSinghRajput,1275570743871336448,Testimo83756609
81,2020-06-23 23:25:21+00:00,Honest Opinions: SUSHANT SINGH RAJPUT PT4 https://honestopinio.blogspot.com/2020/06/sushant-singh-rajput-pt4.html?spref=tw,1275570669497937920,SivUns
82,2020-06-23 23:24:32+00:00,"Dear @iDivaOfficial ,we netizen doesn't blame @Tweet2Rhea for #SushantSinghRajput demise merely as mentiond by you on yesterday post - https://www.google.co.in/amp/s/www.idiva.com/amp/news-opinion/opinion/case-of-abetment-filed-against-rhea-chakraborty-in-sushant-singh-rajputs-suicide/18010631 A girl having link with #MaheshBhatt who openly claimed #sushant to be mental and Praveen vabi way ? #bollywoodnepotism",1275570466451677186,nav_pretty
83,2020-06-23 23:23:26+00:00,"I urge #Bollywood to stand up for themselves and stop making movies for the ungrateful #IndianAudience. You have enough money, make it for yourselves. The General Public have made a mockery out of @itsSSR ‘s death and the industry who has entertained them for so many years!",1275570189799743491,Ishmasquish
